Date,Open,High,Low,Close,Volume,Adj Close
2008-06-30,579.53,585.23,578.08,581.09,5032330000,581.09
2008-06-27,583.32,585.96,577.27,579.62,6208260000,579.62
2008-06-26,598.22,598.22,583.38,583.38,5231280000,583.38
2008-06-25,597.61,607.75,597.61,601.45,4825640000,601.45
2008-06-24,596.85,602.72,592.27,597.61,4705050000,597.61
2008-06-23,597.99,599.44,595.55,597.28,4186370000,597.28
2008-06-20,608.04,608.04,595.92,597.13,5324900000,597.13
2008-06-19,606.73,611.26,603.48,608.81,4811670000,608.81
2008-06-18,613.25,613.25,605.60,607.34,4573570000,607.34
2008-06-17,618.40,621.11,613.54,613.86,3801960000,613.86
2008-06-16,618.40,620.52,614.89,618.06,3706940000,618.06
2008-06-13,611.22,618.89,610.54,618.86,4080420000,618.86
2008-06-12,608.66,616.46,606.55,610.39,4734240000,610.39
2008-06-11,618.21,618.21,608.56,608.66,4779980000,608.66
2008-06-10,617.98,623.04,614.69,618.99,4635070000,618.99
2008-06-09,619.26,623.44,614.49,619.36,4404570000,619.36
2008-06-06,637.17,637.17,618.68,619.26,4771660000,619.26
2008-06-05,627.18,639.23,627.18,639.15,4350790000,639.15
2008-06-04,626.53,631.42,624.43,627.00,4338640000,627.00
2008-06-03,632.21,634.84,624.46,627.42,4396380000,627.42
2008-06-02,638.70,638.70,628.34,631.94,3714320000,631.94
2008-05-30,638.83,642.01,638.22,639.15,3845630000,639.15
2008-05-29,634.17,642.85,633.26,638.80,3894440000,638.80
2008-05-28,633.79,635.27,628.81,634.38,3927240000,634.38
2008-05-27,628.62,634.30,627.50,633.03,3588860000,633.03
2008-05-23,636.05,636.05,628.10,628.79,3516380000,628.79
2008-05-22,635.41,639.41,635.17,637.11,3955960000,637.11
2008-05-21,645.80,647.83,634.35,635.32,4517990000,635.32
2008-05-20,651.90,651.90,643.58,645.53,3854320000,645.53
2008-05-19,652.02,658.72,650.85,653.10,3683970000,653.10
2008-05-16,652.41,652.97,647.98,652.15,3842590000,652.15
2008-05-15,645.97,652.68,644.85,652.38,3836480000,652.38
2008-05-14,644.88,651.13,644.88,646.03,3979370000,646.03
2008-05-13,645.35,646.18,641.30,643.31,4018590000,643.31
2008-05-12,639.85,645.98,638.58,644.89,3370630000,644.89
2008-05-09,642.60,642.60,637.37,639.20,3518620000,639.20
2008-05-08,642.49,646.01,640.17,643.93,3827550000,643.93
2008-05-07,653.12,654.29,641.06,641.79,4075860000,641.79
2008-05-06,649.24,655.10,644.86,653.49,3924100000,653.49
2008-05-05,654.63,654.63,649.06,650.39,3410090000,650.39
2008-05-02,652.01,657.63,650.09,653.47,3953030000,653.47
2008-05-01,641.33,652.53,640.11,652.01,4448780000,652.01
2008-04-30,643.21,650.21,640.30,641.00,4508890000,641.00
2008-04-29,643.72,645.56,640.82,643.00,3815320000,643.00
2008-04-28,644.91,647.03,643.20,643.93,3607000000,643.93
2008-04-25,642.29,646.01,637.45,644.85,3891150000,644.85
2008-04-24,638.20,647.57,635.26,643.23,4461660000,643.23
2008-04-23,636.82,641.14,634.23,637.75,4103610000,637.75
2008-04-22,639.38,639.38,632.89,635.57,3821900000,635.57
2008-04-21,639.26,641.05,635.90,640.14,3420570000,640.14
2008-04-18,630.06,643.13,630.06,640.60,4222380000,640.60
2008-04-17,626.62,629.77,624.42,628.40,3713880000,628.40
2008-04-16,616.33,627.82,616.33,627.39,4260370000,627.39
2008-04-15,613.63,616.00,610.45,614.95,3581230000,614.95
2008-04-14,614.16,614.86,610.72,611.69,3565020000,611.69
2008-04-11,627.68,627.68,613.80,614.59,3723790000,614.59
2008-04-10,626.39,632.60,624.73,628.87,3686150000,628.87
2008-04-09,630.39,631.57,623.73,625.85,3556670000,625.85
2008-04-08,632.82,632.82,628.32,630.48,3602500000,630.48
2008-04-07,635.03,640.36,632.72,634.17,3747780000,634.17
2008-04-04,633.70,637.42,629.43,632.84,3703100000,632.84
2008-04-03,632.15,636.53,628.94,633.52,3920100000,633.52
2008-04-02,635.36,638.57,630.52,633.36,4320440000,633.36
2008-04-01,615.63,635.52,615.63,635.47,4745120000,635.47
2008-03-31,610.61,617.28,609.61,613.71,4188990000,613.71
2008-03-28,615.44,619.30,609.37,610.31,3686980000,610.31
2008-03-27,621.22,623.51,614.45,614.73,4037930000,614.73
2008-03-26,627.71,627.71,619.95,621.99,4055670000,621.99
2008-03-25,627.69,629.86,623.25,627.96,4145120000,627.96
2008-03-24,620.88,632.94,620.88,628.39,4499000000,628.39
2008-03-20,604.88,621.18,604.35,620.38,6145220000,620.38
2008-03-19,618.80,622.42,604.12,604.19,5358550000,604.19
2008-03-18,593.72,618.64,593.72,618.64,5335630000,618.64
2008-03-17,592.91,598.43,583.64,593.48,5683010000,593.48
2008-03-14,608.38,610.82,589.81,595.50,5153780000,595.50
2008-03-13,604.42,611.37,594.00,608.19,5073360000,608.19
2008-03-12,611.15,617.19,605.59,606.16,4414280000,606.16
2008-03-11,589.45,610.95,589.45,610.95,5109080000,610.95
2008-03-10,596.76,598.61,588.87,589.15,4261240000,589.15
2008-03-07,600.03,605.91,592.08,596.79,4565410000,596.79
2008-03-06,613.21,613.21,600.86,601.48,4323460000,601.48
2008-03-05,611.70,618.59,607.87,613.73,4277710000,613.73
2008-03-04,612.35,612.94,602.54,611.15,4757180000,611.15
2008-03-03,613.57,614.98,608.56,613.24,4117570000,613.24
2008-02-29,628.15,628.15,611.46,613.62,4426730000,613.62
2008-02-28,634.76,634.76,628.14,630.06,3938580000,630.06
2008-02-27,633.75,638.27,630.82,635.56,3904700000,635.56
2008-02-26,630.58,637.63,626.68,634.78,4096060000,634.78
2008-02-25,622.86,631.75,620.19,630.58,3866350000,630.58
2008-02-22,619.78,623.89,611.57,623.21,3572660000,623.21
2008-02-21,627.54,629.49,617.16,618.97,3696660000,618.97
2008-02-20,621.94,627.89,616.23,625.92,3870520000,625.92
2008-02-19,627.05,631.53,620.27,621.99,3613550000,621.99
2008-02-15,622.57,623.98,619.09,623.85,3583300000,623.85
2008-02-14,631.62,631.93,622.43,623.12,3644760000,623.12
2008-02-13,624.91,632.71,624.19,631.51,3856420000,631.51
2008-02-12,618.34,628.32,618.34,622.86,4044640000,622.86
2008-02-11,615.06,618.70,609.46,617.69,3593140000,617.69
2008-02-08,618.30,619.03,609.94,614.55,3768490000,614.55
2008-02-07,612.89,623.08,610.02,618.18,4589160000,618.18
2008-02-06,619.85,625.21,613.20,614.23,4008120000,614.23
2008-02-05,638.17,638.17,618.66,618.66,4315740000,618.66
2008-02-04,646.29,646.29,637.80,638.43,3495780000,638.43
2008-02-01,641.64,647.93,639.08,646.30,4650770000,646.30
2008-01-31,630.55,645.57,622.29,643.06,4970290000,643.06
2008-01-30,634.94,645.89,630.60,632.36,4742760000,632.36
2008-01-29,632.93,636.21,629.79,634.96,4232960000,634.96
2008-01-28,621.59,631.83,617.55,631.74,4100930000,631.74
2008-01-25,635.91,639.70,620.30,621.53,4882250000,621.53
2008-01-24,627.22,633.37,624.02,632.68,5735300000,632.68
2008-01-23,612.79,626.98,594.78,626.50,3241680000,626.50
2008-01-22,614.63,618.50,595.49,612.82,6544690000,612.82
2008-01-18,625.60,632.43,615.23,620.43,6004840000,620.43
2008-01-17,643.67,644.98,623.36,625.13,5303130000,625.13
2008-01-16,644.67,651.08,638.89,642.77,5440620000,642.77
2008-01-15,661.57,661.57,647.01,647.35,4601640000,647.35
2008-01-14,657.30,664.22,657.30,663.48,3682090000,663.48
2008-01-11,665.38,665.38,653.05,656.03,4495840000,656.03
2008-01-10,659.97,669.40,655.16,665.64,5170490000,665.64
2008-01-09,651.03,661.26,647.83,661.08,5351030000,661.08
2008-01-08,662.63,669.33,649.77,651.02,4705390000,651.02
2008-01-07,661.99,666.68,657.39,662.94,4221260000,662.94
2008-01-04,674.41,674.41,660.34,660.73,4166000000,660.73
2008-01-03,676.00,680.41,674.39,676.12,3429500000,676.12
2008-01-02,685.47,687.47,673.33,675.95,3452650000,675.95
2007-12-31,689.40,689.43,684.46,685.65,2440880000,685.65
2007-12-28,691.86,695.46,687.47,691.31,2420510000,691.31
2007-12-27,698.54,698.54,689.80,690.14,2365770000,690.14
2007-12-26,698.23,700.24,695.44,699.84,2010500000,699.84
2007-12-24,693.69,699.49,693.69,698.84,1267420000,698.84
2007-12-21,683.99,694.50,683.99,693.57,4508590000,693.57
2007-12-20,681.67,684.00,677.38,682.72,3526890000,682.72
2007-12-19,680.86,685.55,676.64,679.89,3401300000,679.89
2007-12-18,677.46,683.69,671.92,681.05,3723690000,681.05
2007-12-17,685.69,685.69,677.04,677.46,3569030000,677.46
2007-12-14,695.72,695.99,687.19,687.38,3401050000,687.38
2007-12-13,693.70,697.19,687.51,696.56,3635170000,696.56
2007-12-12,696.21,706.81,686.18,694.94,4482120000,694.94
2007-12-11,706.72,711.41,690.10,691.11,4080180000,691.11
2007-12-10,701.42,707.64,701.42,706.34,2911760000,706.34
2007-12-07,703.44,703.91,700.28,701.18,3177710000,701.18
2007-12-06,692.55,702.97,691.45,702.62,3568570000,702.62
2007-12-05,683.09,693.56,683.09,692.85,3663660000,692.85
2007-12-04,686.49,686.49,681.78,682.18,3343620000,682.18
2007-12-03,691.23,691.37,685.63,687.00,3323250000,687.00
2007-11-30,688.63,695.80,686.78,692.03,4422200000,692.03
2007-11-29,685.66,689.26,681.72,687.59,3524730000,687.59
2007-11-28,670.61,688.13,670.61,686.42,4508020000,686.42
2007-11-27,659.24,668.77,657.91,668.08,4320720000,668.08
2007-11-26,673.84,675.90,657.14,657.79,3706470000,657.79
2007-11-23,663.36,673.71,663.36,673.71,1612720000,673.71
2007-11-21,671.19,671.88,662.18,662.89,4076230000,662.89
2007-11-20,669.86,679.38,664.97,674.01,4875150000,674.01
2007-11-19,679.53,679.53,667.69,669.17,4119650000,669.17
2007-11-16,677.64,682.53,673.76,680.61,4168870000,680.61
2007-11-15,684.01,686.91,673.04,676.59,3941010000,676.59
2007-11-14,692.26,695.65,683.28,685.76,4031470000,685.76
2007-11-13,671.85,691.10,671.85,690.77,4141310000,690.77
2007-11-12,675.61,682.14,669.98,670.37,4192520000,670.37
2007-11-09,682.18,685.33,673.78,675.68,4587050000,675.68
